,IP,Throughput(MB/s),IP in 32 bit
529,144.217.183.142,0.63,10010000110110011011011110001110
530,144.217.184.230,13.2,10010000110110011011100011100110
531,144.217.215.179,2.74,10010000110110011101011110110011
532,144.48.36.115,0.2,10010000001100000010010001110011
533,144.76.117.24,1.675,10010000010011000111010100011000
534,144.76.117.26,2.01,10010000010011000111010100011010
535,144.76.184.122,1.7579999999999998,10010000010011001011100001111010
536,144.76.199.134,4.446666666666666,10010000010011001100011110000110
537,144.76.240.174,2.345,10010000010011001111000010101110
538,144.76.44.140,1.72,10010000010011000010110010001100
539,144.82.252.27,6.94375,10010000010100101111110000011011
540,145.239.75.192,3.56,10010001111011110100101111000000
541,146.155.89.155,0.08,10010010100110110101100110011011
542,146.255.84.66,0.35,10010010111111110101010001000010
543,146.66.111.118,3.53,10010010010000100110111101110110
544,146.66.67.122,15.1,10010010010000100100001101111010
545,146.66.69.90,1.44,10010010010000100100010101011010
546,146.66.92.76,0.45,10010010010000100101110001001100
547,146.66.97.170,6.09,10010010010000100110000110101010
548,146.83.222.104,0.08,10010010010100111101111001101000
549,146.88.232.24,9.53,10010010010110001110100000011000
550,146.88.232.55,0.49,10010010010110001110100000110111
551,146.88.233.70,19.9,10010010010110001110100101000110
552,146.88.234.119,5.78,10010010010110001110101001110111
553,146.88.234.49,4.22,10010010010110001110101000110001
554,147.102.224.101,0.31,10010011011001101110000001100101
555,147.102.224.117,0.5,10010011011001101110000001110101
556,147.135.218.184,3.82,10010011100001111101101010111000
557,147.154.128.179,3.55,10010011100110101000000010110011
558,147.229.16.89,1.29,10010011111001010001000001011001
559,147.231.110.130,1.64,10010011111001110110111010000010
560,147.237.0.206,0.22,10010011111011010000000011001110
561,147.237.77.225,0.75,10010011111011010100110111100001
562,147.251.11.221,1.03,10010011111110110000101111011101
563,148.103.3.182,0.58,10010100011001110000001110110110
564,148.163.69.135,0.5,10010100101000110100010110000111
565,148.215.1.5,0.45,10010100110101110000000100000101
566,148.251.118.186,10.8,10010100111110110111011010111010
567,148.251.123.24,1.08,10010100111110110111101100011000
568,148.251.134.227,3.23,10010100111110111000011011100011
569,148.251.189.15,18.89333333333333,10010100111110111011110100001111
570,148.251.237.248,4.77,10010100111110111110110111111000
571,148.251.52.135,0.44,10010100111110110011010010000111
572,148.251.92.51,16.9,10010100111110110101110000110011
573,148.66.138.139,0.88,10010100010000101000101010001011
574,149.126.4.82,1.37,10010101011111100000010001010010
575,149.126.74.216,2.13,10010101011111100100101011011000
576,149.126.74.40,2.9850000000000003,10010101011111100100101000101000
577,149.202.90.58,2.31,10010101110010100101101000111010
578,149.202.94.76,2.1,10010101110010100101111001001100
579,149.56.18.30,21.5,10010101001110000001001000011110
580,149.56.240.235,1.55,10010101001110001111000011101011
581,149.56.25.3,1.41,10010101001110000001100100000011
582,149.77.95.56,0.28,10010101010011010101111100111000
583,150.161.6.69,0.0,10010110101000010000011001000101
584,150.162.249.17,0.13,10010110101000101111100100010001
585,150.185.130.102,0.62,10010110101110011000001001100110
586,150.60.190.67,0.12,10010110001111001011111001000011
587,151.101.18.122,0.56,10010111011001010001001001111010
588,151.101.65.195,6.41,10010111011001010100000111000011
589,151.106.50.210,6.18,10010111011010100011001011010010
590,151.14.9.142,0.96,10010111000011100000100110001110
591,151.236.219.91,3.9466666666666663,10010111111011001101101101011011
592,151.236.34.151,17.465,10010111111011000010001010010111
593,151.236.42.11,22.9,10010111111011000010101000001011
594,151.236.46.147,2.14,10010111111011000010111010010011
595,151.236.52.51,6.71,10010111111011000011010000110011
596,151.236.54.210,34.1,10010111111011000011011011010010
597,151.80.118.206,2.78,10010111010100000111011011001110
598,151.97.240.9,0.64,10010111011000011111000000001001
599,152.195.53.227,1.31,10011000110000110011010111100011
600,152.199.19.161,1.21,10011000110001110001001110100001
601,152.199.21.175,3.18,10011000110001110001010110101111
602,152.74.16.138,1.15,10011000010010100001000010001010
603,152.74.16.83,0.13,10011000010010100001000001010011
604,153.122.153.12,0.11,10011001011110101001100100001100
605,153.2.228.50,1.62,10011001000000101110010000110010
606,153.92.204.16,1.405,10011001010111001100110000010000
607,154.0.165.115,0.37,10011010000000001010010101110011
608,154.0.173.16,0.1,10011010000000001010110100010000
609,154.0.175.238,0.275,10011010000000001010111111101110
610,154.116.255.131,1.0,10011010011101001111111110000011
611,154.118.230.167,0.01,10011010011101101110011010100111
612,154.120.138.70,0.12,10011010011110001000101001000110
613,154.194.134.166,1.16,10011010110000101000011010100110
614,154.41.66.24,0.31,10011010001010010100001000011000
615,154.66.108.11,0.1,10011010010000100110110000001011
616,154.68.9.32,0.31,10011010010001000000100100100000
617,154.70.118.59,0.45,10011010010001100111011000111011
618,154.72.53.85,2.355,10011010010010000011010101010101
619,154.84.116.171,9.81,10011010010101000111010010101011
620,154.90.32.120,0.42,10011010010110100010000001111000
621,155.133.138.9,5.065,10011011100001011000101000001001
622,155.223.63.20,0.31,10011011110111110011111100010100
623,156.244.31.221,15.8,10011100111101000001111111011101
624,156.38.211.122,0.57,10011100001001101101001101111010
625,156.98.79.215,0.52,10011100011000100100111111010111
626,157.124.1.13,0.56,10011101011111000000000100001101
627,157.157.130.115,7.48,10011101100111011000001001110011
628,157.175.105.44,0.66,10011101101011110110100100101100
629,157.193.40.15,1.16,10011101110000010010100000001111
630,157.253.237.107,0.17,10011101111111011110110101101011
631,157.7.107.105,72.2,10011101000001110110101101101001
632,157.7.107.135,18.9,10011101000001110110101110000111
633,157.7.107.148,1.83,10011101000001110110101110010100
634,157.7.44.180,3.68,10011101000001110010110010110100
635,157.86.152.4,0.08,10011101010101101001100000000100
636,157.92.32.8,0.06,10011101010111000010000000001000
637,157.92.96.138,0.6,10011101010111000110000010001010
638,158.129.159.171,3.05,10011110100000011001111110101011
639,158.64.1.63,3.48,10011110010000000000000100111111
640,158.64.59.38,2.16,10011110010000000011101100100110
641,158.69.139.92,2.34,10011110010001011000101101011100
642,158.69.247.8,3.76,10011110010001011111011100001000
643,158.69.249.144,1.5,10011110010001011111100110010000
644,158.85.53.149,0.31,10011110010101010011010110010101
645,159.203.61.85,0.82,10011111110010110011110101010101
646,159.253.150.230,4.45,10011111111111011001011011100110
647,159.65.118.42,2.89,10011111010000010111011000101010
648,159.65.69.26,0.81,10011111010000010100010100011010
649,159.69.206.65,1.755,10011111010001011100111001000001
650,159.69.41.10,3.14,10011111010001010010100100001010
651,159.8.0.20,19.16,10011111000010000000000000010100
652,159.89.91.242,0.53,10011111010110010101101111110010
653,159.90.80.55,0.89,10011111010110100101000000110111
654,160.153.128.45,9.55,10100000100110011000000000101101
655,160.153.129.232,5.87,10100000100110011000000111101000
656,160.153.131.150,1.85,10100000100110011000001110010110
657,160.153.131.199,2.33,10100000100110011000001111000111
658,160.153.133.208,21.0,10100000100110011000010111010000
659,160.153.133.225,10.9,10100000100110011000010111100001
660,160.153.138.163,12.1,10100000100110011000101010100011
661,160.153.16.30,9.45,10100000100110010001000000011110
662,160.153.16.36,4.49,10100000100110010001000000100100
663,160.153.162.130,0.21,10100000100110011010001010000010
664,160.153.209.138,2.315,10100000100110011101000110001010
665,160.153.235.60,3.09,10100000100110011110101100111100
666,160.153.245.184,4.15,10100000100110011111010110111000
667,160.154.6.8,0.4,10100000100110100000011000001000
668,160.219.36.57,1.47,10100000110110110010010000111001
669,160.242.98.51,0.2,10100000111100100110001000110011
670,161.117.187.193,0.9,10100001011101011011101111000001
671,161.47.124.187,0.18,10100001001011110111110010111011
672,161.53.56.3,0.48,10100001001101010011100000000011
673,161.64.160.55,0.16999999999999998,10100001010000001010000000110111
674,161.64.5.34,0.205,10100001010000000000010100100010
675,162.13.221.193,2.93,10100010000011011101110111000001
676,162.144.101.4,0.29,10100010100100000110010100000100
677,162.144.37.116,5.4,10100010100100000010010101110100
678,162.144.5.115,0.35,10100010100100000000010101110011
679,162.144.5.15,0.31,10100010100100000000010100001111
680,162.144.86.140,0.19,10100010100100000101011010001100
681,162.209.62.12,0.21,10100010110100010011111000001100
682,162.210.102.11,0.64,10100010110100100110011000001011
683,162.210.102.20,0.465,10100010110100100110011000010100
684,162.210.102.44,0.29,10100010110100100110011000101100
685,162.210.102.90,0.48,10100010110100100110011001011010
686,162.210.96.115,0.38,10100010110100100110000001110011
687,162.210.97.196,1.32,10100010110100100110000111000100
688,162.210.99.100,0.24,10100010110100100110001101100100
689,162.213.249.132,13.1,10100010110101011111100110000100
690,162.214.15.240,0.18,10100010110101100000111111110000
691,162.215.240.128,34.3,10100010110101111111000010000000
692,162.215.248.233,24.4,10100010110101111111100011101001
693,162.215.253.97,11.15,10100010110101111111110101100001
694,162.219.162.177,0.25,10100010110110111010001010110001
695,162.220.58.153,4.03,10100010110111000011101010011001
696,162.222.226.133,1.53,10100010110111101110001010000101
697,162.222.226.194,0.45,10100010110111101110001011000010
698,162.222.226.195,1.18,10100010110111101110001011000011
699,162.241.142.27,0.22,10100010111100011000111000011011
700,162.241.142.95,5.63,10100010111100011000111001011111
701,162.241.156.187,0.95,10100010111100011001110010111011
702,162.241.212.145,0.02,10100010111100011101010010010001
703,162.241.216.101,9.23,10100010111100011101100001100101
704,162.241.217.165,0.38,10100010111100011101100110100101
705,162.241.219.131,1.41,10100010111100011101101110000011
706,162.241.219.89,1.42,10100010111100011101101101011001
707,162.241.226.151,0.32,10100010111100011110001010010111
708,162.241.24.236,6.39,10100010111100010001100011101100
709,162.241.24.41,0.27,10100010111100010001100000101001
710,162.241.24.92,0.28,10100010111100010001100001011100
711,162.241.244.61,1.7,10100010111100011111010000111101
712,162.241.244.73,22.1,10100010111100011111010001001001
713,162.241.248.20,0.87,10100010111100011111100000010100
714,162.241.252.164,0.475,10100010111100011111110010100100
715,162.241.252.170,0.64,10100010111100011111110010101010
716,162.241.253.48,1.02,10100010111100011111110100110000
717,162.244.239.90,0.26,10100010111101001110111101011010
718,162.249.110.58,0.26,10100010111110010110111000111010
719,162.250.124.219,17.5,10100010111110100111110011011011
720,162.251.80.12,10.8,10100010111110110101000000001100
721,163.172.121.32,3.56,10100011101011000111100100100000
722,163.172.192.138,3.06,10100011101011001100000010001010
723,163.172.85.132,6.25,10100011101011000101010110000100
724,163.178.108.72,0.29,10100011101100100110110001001000
725,163.178.80.26,0.37,10100011101100100101000000011010
726,163.247.55.37,1.7,10100011111101110011011100100101
727,164.100.107.32,2.67,10100100011001000110101100100000
728,164.100.117.77,0.17,10100100011001000111010101001101
729,164.100.158.105,0.43,10100100011001001001111001101001
730,164.100.58.102,0.13,10100100011001000011101001100110
731,164.100.58.179,0.18,10100100011001000011101010110011
732,164.100.60.129,0.62,10100100011001000011110010000001
733,164.132.140.3,0.34,10100100100001001000110000000011
734,164.132.2.19,35.8,10100100100001000000001000010011
735,164.132.215.82,1.47,10100100100001001101011101010010
736,164.132.225.232,11.1,10100100100001001110000111101000
737,164.132.235.17,8.943333333333333,10100100100001001110101100010001
738,164.132.66.179,1.73,10100100100001000100001010110011
739,164.138.217.79,1.22,10100100100010101101100101001111
740,164.138.218.177,1.31,10100100100010101101101010110001
741,164.151.129.19,0.16,10100100100101111000000100010011
742,164.151.130.46,0.30500000000000005,10100100100101111000001000101110
743,164.151.196.9,0.11,10100100100101111100010000001001
744,164.160.35.251,8.745,10100100101000000010001111111011
745,164.160.41.79,0.5549999999999999,10100100101000000010100101001111
746,164.160.68.42,0.2,10100100101000000100010000101010
747,164.160.91.26,0.265,10100100101000000101101100011010
748,164.46.124.133,0.03,10100100001011100111110010000101
749,164.68.96.136,53.6,10100100010001000110000010001000
750,164.70.19.211,0.81,10100100010001100001001111010011
751,164.73.80.2,0.77,10100100010010010101000000000010
752,164.97.249.143,0.135,10100100011000011111100110001111
753,165.22.117.130,2.36,10100101000101100111010110000010
754,165.22.53.241,0.27,10100101000101100011010111110001
755,165.22.68.32,1.13,10100101000101100100010000100000
756,165.227.182.29,0.325,10100101111000111011011000011101
757,165.98.16.24,0.395,10100101011000100001000000011000
758,165.98.8.90,1.07,10100101011000100000100001011010
759,166.62.28.126,0.21,10100110001111100001110001111110
760,166.62.54.158,0.24,10100110001111100011011010011110
761,166.88.12.185,0.15,10100110010110000000110010111001
762,167.114.141.163,1.04,10100111011100101000110110100011
763,167.114.188.209,1.23,10100111011100101011110011010001
764,167.86.106.148,11.3,10100111010101100110101010010100
765,167.99.137.12,0.7,10100111011000111000100100001100
766,167.99.219.6,14.2,10100111011000111101101100000110
767,168.1.77.94,0.7849999999999999,10101000000000010100110101011110
768,168.123.129.22,0.135,10101000011110111000000100010110
769,168.142.204.51,0.23,10101000100011101100110000110011
770,168.167.134.81,0.3566666666666667,10101000101001111000011001010001
771,168.167.201.22,0.49,10101000101001111100100100010110
772,168.167.21.107,1.1,10101000101001110001010101101011
773,168.167.220.4,0.29,10101000101001111101110000000100
774,168.167.71.11,2.9339999999999997,10101000101001110100011100001011
775,168.167.91.139,0.16,10101000101001110101101110001011
776,168.187.224.87,0.63,10101000101110111110000001010111
777,168.232.48.132,0.19,10101000111010000011000010000100
